unIDyearSite,uniqueIDYear,uniqueID,site,year,block,row,treat,seedl_nr,height,diam_mm,dateYear,mort_date,notes,mortality,mort_binar,waxQual,damage,percentDebark,waxHeight_cm,rootCol,origNotes,mort2,rank
B1R6_controlS_9_2019_nursery,B1R6_controlS_9_2019,B1R6_controlS_9,nursery,2019,1,6,control,9,52,13.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B1R6_controlS_9_2020_nursery,B1R6_controlS_9_2020,B1R6_controlS_9,nursery,2020,1,6,control,9,96,23,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_1_2018_nursery,B2R1_chemicalS_1_2018,B2R1_chemicalS_1,nursery,2018,2,1,chemical,1,53,11,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_1_2019_nursery,B2R1_chemicalS_1_2019,B2R1_chemicalS_1,nursery,2019,2,1,chemical,1,61,15,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_1_2020_nursery,B2R1_chemicalS_1_2020,B2R1_chemicalS_1,nursery,2020,2,1,chemical,1,78,23.5,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_10_2018_nursery,B2R1_chemicalS_10_2018,B2R1_chemicalS_10,nursery,2018,2,1,chemical,10,52,11.1,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_10_2019_nursery,B2R1_chemicalS_10_2019,B2R1_chemicalS_10,nursery,2019,2,1,chemical,10,54,15.1,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_10_2020_nursery,B2R1_chemicalS_10_2020,B2R1_chemicalS_10,nursery,2020,2,1,chemical,10,88,24.4,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_2_2018_nursery,B2R1_chemicalS_2_2018,B2R1_chemicalS_2,nursery,2018,2,1,chemical,2,57,11.1,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_2_2019_nursery,B2R1_chemicalS_2_2019,B2R1_chemicalS_2,nursery,2019,2,1,chemical,2,60,13.1,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_2_2020_nursery,B2R1_chemicalS_2_2020,B2R1_chemicalS_2,nursery,2020,2,1,chemical,2,93,29.1,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_3_2018_nursery,B2R1_chemicalS_3_2018,B2R1_chemicalS_3,nursery,2018,2,1,chemical,3,66,11.5,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_3_2019_nursery,B2R1_chemicalS_3_2019,B2R1_chemicalS_3,nursery,2019,2,1,chemical,3,73,11.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_3_2020_nursery,B2R1_chemicalS_3_2020,B2R1_chemicalS_3,nursery,2020,2,1,chemical,3,96,33.6,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_4_2018_nursery,B2R1_chemicalS_4_2018,B2R1_chemicalS_4,nursery,2018,2,1,chemical,4,57,9.3,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_4_2019_nursery,B2R1_chemicalS_4_2019,B2R1_chemicalS_4,nursery,2019,2,1,chemical,4,66,14.6,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_4_2020_nursery,B2R1_chemicalS_4_2020,B2R1_chemicalS_4,nursery,2020,2,1,chemical,4,86,28.3,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_5_2018_nursery,B2R1_chemicalS_5_2018,B2R1_chemicalS_5,nursery,2018,2,1,chemical,5,59,10.1,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_5_2019_nursery,B2R1_chemicalS_5_2019,B2R1_chemicalS_5,nursery,2019,2,1,chemical,5,60,13.3,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_5_2020_nursery,B2R1_chemicalS_5_2020,B2R1_chemicalS_5,nursery,2020,2,1,chemical,5,84,29.3,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_6_2018_nursery,B2R1_chemicalS_6_2018,B2R1_chemicalS_6,nursery,2018,2,1,chemical,6,50,9.4,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_6_2019_nursery,B2R1_chemicalS_6_2019,B2R1_chemicalS_6,nursery,2019,2,1,chemical,6,57,14.6,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_6_2020_nursery,B2R1_chemicalS_6_2020,B2R1_chemicalS_6,nursery,2020,2,1,chemical,6,86,25.5,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_7_2018_nursery,B2R1_chemicalS_7_2018,B2R1_chemicalS_7,nursery,2018,2,1,chemical,7,NA,NA,2018,2018,other,dead,1,NA,0,NA,NA,NA,dead,2018,NA
B2R1_chemicalS_8_2018_nursery,B2R1_chemicalS_8_2018,B2R1_chemicalS_8,nursery,2018,2,1,chemical,8,52,8.3,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_8_2019_nursery,B2R1_chemicalS_8_2019,B2R1_chemicalS_8,nursery,2019,2,1,chemical,8,57,16,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_8_2020_nursery,B2R1_chemicalS_8_2020,B2R1_chemicalS_8,nursery,2020,2,1,chemical,8,97,29.2,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_9_2018_nursery,B2R1_chemicalS_9_2018,B2R1_chemicalS_9,nursery,2018,2,1,chemical,9,60,12.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_9_2019_nursery,B2R1_chemicalS_9_2019,B2R1_chemicalS_9,nursery,2019,2,1,chemical,9,62,12.9,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R1_chemicalS_9_2020_nursery,B2R1_chemicalS_9_2020,B2R1_chemicalS_9,nursery,2020,2,1,chemical,9,81,32.2,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_1_2018_nursery,B2R2_collarS_1_2018,B2R2_collarS_1,nursery,2018,2,2,collar,1,62,11.5,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_1_2019_nursery,B2R2_collarS_1_2019,B2R2_collarS_1,nursery,2019,2,2,collar,1,61,13.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_1_2020_nursery,B2R2_collarS_1_2020,B2R2_collarS_1,nursery,2020,2,2,collar,1,64,15,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_10_2018_nursery,B2R2_collarS_10_2018,B2R2_collarS_10,nursery,2018,2,2,collar,10,45,8.4,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_10_2019_nursery,B2R2_collarS_10_2019,B2R2_collarS_10,nursery,2019,2,2,collar,10,51,10.8,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_10_2020_nursery,B2R2_collarS_10_2020,B2R2_collarS_10,nursery,2020,2,2,collar,10,81,18.4,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_2_2018_nursery,B2R2_collarS_2_2018,B2R2_collarS_2,nursery,2018,2,2,collar,2,NA,NA,2018,2018,other,dead,1,NA,0,NA,NA,NA,dead,2018,NA
B2R2_collarS_3_2018_nursery,B2R2_collarS_3_2018,B2R2_collarS_3,nursery,2018,2,2,collar,3,65.5,8.5,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_3_2019_nursery,B2R2_collarS_3_2019,B2R2_collarS_3,nursery,2019,2,2,collar,3,68,13.1,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_3_2020_nursery,B2R2_collarS_3_2020,B2R2_collarS_3,nursery,2020,2,2,collar,3,94,17.8,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_4_2018_nursery,B2R2_collarS_4_2018,B2R2_collarS_4,nursery,2018,2,2,collar,4,54,10.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_4_2019_nursery,B2R2_collarS_4_2019,B2R2_collarS_4,nursery,2019,2,2,collar,4,33,11.5,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_4_2020_nursery,B2R2_collarS_4_2020,B2R2_collarS_4,nursery,2020,2,2,collar,4,58,13.6,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_5_2018_nursery,B2R2_collarS_5_2018,B2R2_collarS_5,nursery,2018,2,2,collar,5,54,9.4,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_5_2019_nursery,B2R2_collarS_5_2019,B2R2_collarS_5,nursery,2019,2,2,collar,5,63,14.8,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_5_2020_nursery,B2R2_collarS_5_2020,B2R2_collarS_5,nursery,2020,2,2,collar,5,95,25.7,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_6_2018_nursery,B2R2_collarS_6_2018,B2R2_collarS_6,nursery,2018,2,2,collar,6,65.5,12.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_6_2019_nursery,B2R2_collarS_6_2019,B2R2_collarS_6,nursery,2019,2,2,collar,6,63,17.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_6_2020_nursery,B2R2_collarS_6_2020,B2R2_collarS_6,nursery,2020,2,2,collar,6,89,28.3,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_7_2018_nursery,B2R2_collarS_7_2018,B2R2_collarS_7,nursery,2018,2,2,collar,7,66.5,9.3,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_7_2019_nursery,B2R2_collarS_7_2019,B2R2_collarS_7,nursery,2019,2,2,collar,7,64,13.3,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_7_2020_nursery,B2R2_collarS_7_2020,B2R2_collarS_7,nursery,2020,2,2,collar,7,98,23.8,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_8_2018_nursery,B2R2_collarS_8_2018,B2R2_collarS_8,nursery,2018,2,2,collar,8,52,7.3,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_8_2019_nursery,B2R2_collarS_8_2019,B2R2_collarS_8,nursery,2019,2,2,collar,8,54,13.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_8_2020_nursery,B2R2_collarS_8_2020,B2R2_collarS_8,nursery,2020,2,2,collar,8,103,22.6,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_9_2018_nursery,B2R2_collarS_9_2018,B2R2_collarS_9,nursery,2018,2,2,collar,9,55.5,8.3,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_9_2019_nursery,B2R2_collarS_9_2019,B2R2_collarS_9,nursery,2019,2,2,collar,9,56,13.3,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R2_collarS_9_2020_nursery,B2R2_collarS_9_2020,B2R2_collarS_9,nursery,2020,2,2,collar,9,88,20.5,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_1_2018_nursery,B2R3_glueS_1_2018,B2R3_glueS_1,nursery,2018,2,3,glue,1,NA,NA,2018,2018,other,dead,1,NA,0,NA,NA,NA,dead,2018,NA
B2R3_glueS_10_2018_nursery,B2R3_glueS_10_2018,B2R3_glueS_10,nursery,2018,2,3,glue,10,NA,NA,2018,2018,other,dead,1,NA,0,NA,NA,NA,dead,2018,NA
B2R3_glueS_2_2018_nursery,B2R3_glueS_2_2018,B2R3_glueS_2,nursery,2018,2,3,glue,2,59,10.1,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_2_2019_nursery,B2R3_glueS_2_2019,B2R3_glueS_2,nursery,2019,2,3,glue,2,60,14.1,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_2_2020_nursery,B2R3_glueS_2_2020,B2R3_glueS_2,nursery,2020,2,3,glue,2,76,21.8,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_3_2018_nursery,B2R3_glueS_3_2018,B2R3_glueS_3,nursery,2018,2,3,glue,3,53,7.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_3_2019_nursery,B2R3_glueS_3_2019,B2R3_glueS_3,nursery,2019,2,3,glue,3,56,19.5,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_3_2020_nursery,B2R3_glueS_3_2020,B2R3_glueS_3,nursery,2020,2,3,glue,3,100,30.3,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_4_2018_nursery,B2R3_glueS_4_2018,B2R3_glueS_4,nursery,2018,2,3,glue,4,62,10.5,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_4_2019_nursery,B2R3_glueS_4_2019,B2R3_glueS_4,nursery,2019,2,3,glue,4,72,16.4,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_4_2020_nursery,B2R3_glueS_4_2020,B2R3_glueS_4,nursery,2020,2,3,glue,4,105,28.9,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_5_2018_nursery,B2R3_glueS_5_2018,B2R3_glueS_5,nursery,2018,2,3,glue,5,59,10.2,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_5_2019_nursery,B2R3_glueS_5_2019,B2R3_glueS_5,nursery,2019,2,3,glue,5,57,18.3,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_5_2020_nursery,B2R3_glueS_5_2020,B2R3_glueS_5,nursery,2020,2,3,glue,5,82,26.9,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_6_2018_nursery,B2R3_glueS_6_2018,B2R3_glueS_6,nursery,2018,2,3,glue,6,67,10.2,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_6_2019_nursery,B2R3_glueS_6_2019,B2R3_glueS_6,nursery,2019,2,3,glue,6,71,17.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_6_2020_nursery,B2R3_glueS_6_2020,B2R3_glueS_6,nursery,2020,2,3,glue,6,79,27.7,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_7_2018_nursery,B2R3_glueS_7_2018,B2R3_glueS_7,nursery,2018,2,3,glue,7,55,10,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_7_2019_nursery,B2R3_glueS_7_2019,B2R3_glueS_7,nursery,2019,2,3,glue,7,59.5,18.7,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_7_2020_nursery,B2R3_glueS_7_2020,B2R3_glueS_7,nursery,2020,2,3,glue,7,91,30.8,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_8_2018_nursery,B2R3_glueS_8_2018,B2R3_glueS_8,nursery,2018,2,3,glue,8,47,7.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_8_2019_nursery,B2R3_glueS_8_2019,B2R3_glueS_8,nursery,2019,2,3,glue,8,51,16.4,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_8_2020_nursery,B2R3_glueS_8_2020,B2R3_glueS_8,nursery,2020,2,3,glue,8,82,27.4,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_9_2018_nursery,B2R3_glueS_9_2018,B2R3_glueS_9,nursery,2018,2,3,glue,9,52,10.4,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_9_2019_nursery,B2R3_glueS_9_2019,B2R3_glueS_9,nursery,2019,2,3,glue,9,52,17.1,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R3_glueS_9_2020_nursery,B2R3_glueS_9_2020,B2R3_glueS_9,nursery,2020,2,3,glue,9,80,30.5,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_1_2018_nursery,B2R4_controlS_1_2018,B2R4_controlS_1,nursery,2018,2,4,control,1,57,10.3,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_1_2019_nursery,B2R4_controlS_1_2019,B2R4_controlS_1,nursery,2019,2,4,control,1,70,14.9,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_1_2020_nursery,B2R4_controlS_1_2020,B2R4_controlS_1,nursery,2020,2,4,control,1,115,23.7,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_10_2018_nursery,B2R4_controlS_10_2018,B2R4_controlS_10,nursery,2018,2,4,control,10,56,10.4,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_10_2019_nursery,B2R4_controlS_10_2019,B2R4_controlS_10,nursery,2019,2,4,control,10,60,16.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_10_2020_nursery,B2R4_controlS_10_2020,B2R4_controlS_10,nursery,2020,2,4,control,10,91,25.5,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_2_2018_nursery,B2R4_controlS_2_2018,B2R4_controlS_2,nursery,2018,2,4,control,2,76,12.5,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_2_2019_nursery,B2R4_controlS_2_2019,B2R4_controlS_2,nursery,2019,2,4,control,2,83,14.3,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_2_2020_nursery,B2R4_controlS_2_2020,B2R4_controlS_2,nursery,2020,2,4,control,2,122,20.7,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_3_2018_nursery,B2R4_controlS_3_2018,B2R4_controlS_3,nursery,2018,2,4,control,3,54,6.5,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_3_2019_nursery,B2R4_controlS_3_2019,B2R4_controlS_3,nursery,2019,2,4,control,3,61,12.5,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_3_2020_nursery,B2R4_controlS_3_2020,B2R4_controlS_3,nursery,2020,2,4,control,3,90,20.5,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_4_2018_nursery,B2R4_controlS_4_2018,B2R4_controlS_4,nursery,2018,2,4,control,4,47,8.6,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_4_2019_nursery,B2R4_controlS_4_2019,B2R4_controlS_4,nursery,2019,2,4,control,4,53,14.1,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_4_2020_nursery,B2R4_controlS_4_2020,B2R4_controlS_4,nursery,2020,2,4,control,4,85,25,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_5_2018_nursery,B2R4_controlS_5_2018,B2R4_controlS_5,nursery,2018,2,4,control,5,NA,NA,2018,2018,other,dead,1,NA,0,NA,NA,NA,dead,2018,NA
B2R4_controlS_6_2018_nursery,B2R4_controlS_6_2018,B2R4_controlS_6,nursery,2018,2,4,control,6,73,12.9,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_6_2019_nursery,B2R4_controlS_6_2019,B2R4_controlS_6,nursery,2019,2,4,control,6,76,17.3,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_6_2020_nursery,B2R4_controlS_6_2020,B2R4_controlS_6,nursery,2020,2,4,control,6,103,25.9,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_7_2018_nursery,B2R4_controlS_7_2018,B2R4_controlS_7,nursery,2018,2,4,control,7,59,11.9,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_7_2019_nursery,B2R4_controlS_7_2019,B2R4_controlS_7,nursery,2019,2,4,control,7,64,16.7,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_7_2020_nursery,B2R4_controlS_7_2020,B2R4_controlS_7,nursery,2020,2,4,control,7,83,24.6,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_8_2018_nursery,B2R4_controlS_8_2018,B2R4_controlS_8,nursery,2018,2,4,control,8,NA,NA,2018,2018,other,dead,1,NA,0,NA,NA,NA,dead,2018,NA
B2R4_controlS_9_2018_nursery,B2R4_controlS_9_2018,B2R4_controlS_9,nursery,2018,2,4,control,9,60,8.9,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_9_2019_nursery,B2R4_controlS_9_2019,B2R4_controlS_9,nursery,2019,2,4,control,9,67,13.6,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R4_controlS_9_2020_nursery,B2R4_controlS_9_2020,B2R4_controlS_9,nursery,2020,2,4,control,9,88,22.2,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B2R5_wax FS_1_2018_nursery,B2R5_wax FS_1_2018,B2R5_wax FS_1,nursery,2018,2,5,wax F,1,42.5,6.8,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B2R5_wax FS_1_2019_nursery,B2R5_wax FS_1_2019,B2R5_wax FS_1,nursery,2019,2,5,wax F,1,44,10.8,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B2R5_wax FS_1_2020_nursery,B2R5_wax FS_1_2020,B2R5_wax FS_1,nursery,2020,2,5,wax F,1,76,16,2020,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B2R5_wax FS_10_2018_nursery,B2R5_wax FS_10_2018,B2R5_wax FS_10,nursery,2018,2,5,wax F,10,NA,NA,2018,2018,other,dead,1,0,0,NA,NA,NA,dead,2018,1
B2R5_wax FS_2_2018_nursery,B2R5_wax FS_2_2018,B2R5_wax FS_2,nursery,2018,2,5,wax F,2,47.5,9.1,2018,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B2R5_wax FS_2_2019_nursery,B2R5_wax FS_2_2019,B2R5_wax FS_2,nursery,2019,2,5,wax F,2,50,11.6,2019,0,alive,alive,0,1,0,NA,NA,NA,alive,0,3
B2R5_wax FS_2_2020_nursery,B2R5_wax FS_2_2020,B2R5_wax FS_2,nursery,2020,2,5,wax F,2,94,18,2020,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B2R5_wax FS_3_2018_nursery,B2R5_wax FS_3_2018,B2R5_wax FS_3,nursery,2018,2,5,wax F,3,NA,NA,2018,2018,other,dead,1,0,0,NA,NA,NA,dead,2018,1
B2R5_wax FS_4_2018_nursery,B2R5_wax FS_4_2018,B2R5_wax FS_4,nursery,2018,2,5,wax F,4,46,12.2,2018,0,alive,alive,0,1,0,NA,NA,NA,alive,0,2
B2R5_wax FS_4_2019_nursery,B2R5_wax FS_4_2019,B2R5_wax FS_4,nursery,2019,2,5,wax F,4,50,16.2,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B2R5_wax FS_4_2020_nursery,B2R5_wax FS_4_2020,B2R5_wax FS_4,nursery,2020,2,5,wax F,4,93,24.4,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B2R5_wax FS_5_2018_nursery,B2R5_wax FS_5_2018,B2R5_wax FS_5,nursery,2018,2,5,wax F,5,45,8.7,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B2R5_wax FS_5_2019_nursery,B2R5_wax FS_5_2019,B2R5_wax FS_5,nursery,2019,2,5,wax F,5,60,12,2019,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B2R5_wax FS_5_2020_nursery,B2R5_wax FS_5_2020,B2R5_wax FS_5,nursery,2020,2,5,wax F,5,94,21.9,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B2R5_wax FS_6_2018_nursery,B2R5_wax FS_6_2018,B2R5_wax FS_6,nursery,2018,2,5,wax F,6,38,6.6,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B2R5_wax FS_6_2019_nursery,B2R5_wax FS_6_2019,B2R5_wax FS_6,nursery,2019,2,5,wax F,6,44,11.3,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B2R5_wax FS_6_2020_nursery,B2R5_wax FS_6_2020,B2R5_wax FS_6,nursery,2020,2,5,wax F,6,79,21.6,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B2R5_wax FS_7_2018_nursery,B2R5_wax FS_7_2018,B2R5_wax FS_7,nursery,2018,2,5,wax F,7,41,5.9,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B2R5_wax FS_7_2019_nursery,B2R5_wax FS_7_2019,B2R5_wax FS_7,nursery,2019,2,5,wax F,7,69,10.5,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B2R5_wax FS_7_2020_nursery,B2R5_wax FS_7_2020,B2R5_wax FS_7,nursery,2020,2,5,wax F,7,87,20.2,2020,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B2R5_wax FS_8_2018_nursery,B2R5_wax FS_8_2018,B2R5_wax FS_8,nursery,2018,2,5,wax F,8,45,8.6,2018,0,alive,alive,0,1,0,NA,NA,NA,alive,0,2
B2R5_wax FS_8_2019_nursery,B2R5_wax FS_8_2019,B2R5_wax FS_8,nursery,2019,2,5,wax F,8,59,12.4,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B2R5_wax FS_8_2020_nursery,B2R5_wax FS_8_2020,B2R5_wax FS_8,nursery,2020,2,5,wax F,8,76,24.9,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B2R5_wax FS_9_2018_nursery,B2R5_wax FS_9_2018,B2R5_wax FS_9,nursery,2018,2,5,wax F,9,43,7.2,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B2R5_wax FS_9_2019_nursery,B2R5_wax FS_9_2019,B2R5_wax FS_9,nursery,2019,2,5,wax F,9,45,10.7,2019,0,alive,alive,0,1,0,NA,NA,NA,alive,0,2
B2R5_wax FS_9_2020_nursery,B2R5_wax FS_9_2020,B2R5_wax FS_9,nursery,2020,2,5,wax F,9,69,18.8,2020,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
